"Absolute brightness ","absolute magnitude","
    A measure of the true brightness of an object. The absolute brightness or magnitude of an object is the apparent brightness or magnitude it would have if it were located exactly 32.6 light-years (10 parsecs) away. For example, the apparent brightness of our Sun is much greater than that of the star Rigel in the constellation Orion because it is so close to us. However, if both objects were placed at the same distance from us, Rigel would appear much brighter than our Sun because its absolute brightness is much larger.



"
"Absolute zero",,"
    The coldest possible temperature, at which all molecular motion stops. On the Kelvin temperature scale, this temperature is the zero-point (0 K), which is equivalent to -273Â°C and -460Â°F.




"
Absorption,,"
    The process by which light transfers its energy to matter. For example, a gas cloud can absorb starlight that passes through it. After the starlight passes through the cloud, dark lines called absorption lines appear in the starâs continuous spectrum at wavelengths corresponding to the light-absorbing elements.



"
"Absorption line",,"
    A dark line in a continuous spectrum caused by absorption of light. Each chemical element emits and absorbs radiated energy at specific wavelengths, making it possible to identify the elements present in the atmosphere of a star or other celestial body by analyzing which absorption lines are present.




"
"Accelerating universe",,"
    A model for the universe in which a repulsive force counteracts the attractive force of gravity, driving all the matter in the universe apart at speeds that increase with time. Recent observations of distant supernova explosions suggest that we may live in an accelerating universe.




"
"Accretion disk",,"
    A relatively flat, rapidly rotating disk of gas surrounding a black hole, a newborn star, or any massive object that attracts and swallows matter. Accretion disks around stars are expected to contain dust particles and may show evidence of active planet formation. Beta Pictoris is an example of a star known to have an accretion disk.




"
"Active galactic nucleus ",AGN,"
    A very bright, compact region found at the center of certain galaxies. The brightness of an active galactic nucleus is thought to come from an accretion disk around a supermassive black hole. The black hole devours matter from the accretion disk, and this infall of matter provides the firepower for quasars, the most luminous type of active galactic nucleus.




"
"Active galaxy",,"
    A galaxy possessing an active galactic nucleus at its center.




"
"Advanced Camera For Surveys ",ACS,"
    An optical camera aboard the Hubble Space Telescope that uses CCD detectors to make images. The camera covers twice the area, has twice the sharpness, and is up to 10 times more efficient than the telescopes Wide Field and Planetary Camera 2. The ACS wavelength range spans from ultraviolet to near-infrared light. The cameras sharp eye and broader viewing area allow astronomers to study the life cycles of galaxies in the remotest regions of the universe. Astronauts installed the camera aboard the telescope in March 2002, but the camera experienced an electrical short in 2007 that shut down all but one data channel. During Servicing Mission 4 in 2009, astronauts replaced the failed circuit boards and added a new power supply box to restore power to the camera.




"
Afterglow,,"
    The fading fireball of a gamma-ray burst â a sudden burst of gamma rays from deep space â that is observable in less energetic wavelengths, such as X-ray, optical, and radio. After an initial explosion, an expanding gamma-ray burst slows and sweeps up surrounding material, generating the afterglow, which is visible for several weeks or months. The afterglow is usually extremely faint, making it difficult to locate and study.




"
Alloy,,"
    A mixture of two or more metals. Brass (a mixture of copper and zinc) and bronze (a mixture of copper and tin) are common alloys.



"
"Alpha process",,"
    A process by which lighter elements capture helium nuclei (alpha particles) to form heavier elements. For example, when a carbon nucleus captures an alpha particle, a heavier oxygen nucleus is formed.




"
Altitude-azimuth,,"
    A type of telescope mounting that supports the weight of the telescope and allows it to move in two directions to locate a specific target. One axis of support is vertical (called the altitude) and allows the telescope to move up and down. The other axis is horizontal (called the azimuth) and allows the telescope to swing in a circle parallel to the ground. This makes it easy to position the telescope: swing it around in a circle and then lift it to the target. However, tracking an object as the Earth turns is more complicated. The telescope needs to be adjusted in both directions while tracking, which requires a computer to control the telescope.



"
Amplify,,"
    To make larger or more powerful; increase. Radio signals are amplified because they are very weak.



"
Amplitude,,"
    The size of a wave from the top of a wave crest to its   midpoint.



"
"Angular momentum",,"
    A property that an object, such as a planet revolving around the Sun, possesses by virtue of its rotation or circular motion. An objectâs angular momentum cannot change unless some force acts to speed up or slow down its circular motion. This principle, known as conservation of angular momentum, is why an object can indefinitely maintain a circular motion around an axis of revolution or rotation.




"
"Angular resolution",,"
    The ability of an instrument, such as a telescope, to distinguish objects that are very close to each other. The angular resolution of an instrument is the smallest angular separation at which the instrument can observe two neighboring objects as two separate objects. The angular resolution of the human eye is about a minute of arc. As car headlights approach from a far-off point, they appear as a single light until the separation between the lights increases to a point where they can be resolved as two separate lights.




"
"Angular size",,"
    The apparent size of an object as seen by an observer; expressed in units of degrees (of arc), arc minutes, or arc seconds. The moon, as viewed from the Earth, has an angular diameter of one-half a degree.




"
Antenna,,"
    An electrical device used to send or receive electromagnetic waves. The aerial (a long piece of metal attached to the front or rear fender) on a car is the antenna for the radio.



"
Antimatter,,"
    Matter made up of elementary particles whose masses are identical to their normal-matter counterparts but whose other properties, such as electric charge, are reversed. The positron is the antimatter counterpart of an electron, with a positive charge instead of a negative charge. When an antimatter particle collides with its normal-matter counterpart, both particles are annihilated and energy is released.



"
